课程名称	均分	最高分	课程代码
编译原理（C类）	/2014-2015-1	88.84	99.00
中西乐理及其应用	/2015-2016-2	88.83	100.00
香港电影专题研究	/2015-2016-1	88.82	93.00
《圣经》与西方文化	/2015-2016-2	88.82	98.00
创新思维与现代设计	/2015-2016-2	88.81	96.00
治理之善：公共行政热点解析	/2015-2016-2	88.79	98.00
新闻媒介与社会	/2015-2016-1	88.77	96.00
欧洲文化导论	/2015-2016-2	88.75	97.00
新闻媒介与社会	/2015-2016-2	88.75	96.00
生物技术与人类	/2014-2015-1	88.74	98.00
英语写作	/2015-2016-2	88.73	93.00
商法	/2015-2016-1	88.73	99.00
创新思维与现代设计	/2015-2016-1	88.72	96.00
中西方建筑文化	/2014-2015-2	88.71	94.00
操作系统课程设计	/2014-2015-1	88.70	95.00
基本电路实验	/2015-2016-1	88.69	99.00
艺术、媒介与创造性思维	/2015-2016-2	88.69	96.00
细胞世界	/2015-2016-1	88.67	96.00
基础日语(下)	/2015-2016-2	88.67	100.00
动物病理学	/2014-2015-1	88.67	93.00
设计基础（A类）（1）	/2014-2015-1	88.66	95.00
经济与社会伦理	/2015-2016-1	88.65	99.00
新闻媒介与社会	/2014-2015-1	88.64	95.00
动物行为学	/2014-2015-1	88.62	93.00
园艺与文化	/2014-2015-2	88.62	95.00
组织文化研究	/2015-2016-2	88.62	93.00
书法艺术	/2014-2015-2	88.61	98.00
日常生活中的心理学	/2015-2016-2	88.61	93.00
交响音乐鉴赏	/2014-2015-1	88.60	99.00
药物发展——延续生命的奥秘	/2015-2016-1	88.59	95.00
信息素养与实践	/2014-2015-2	88.59	95.00
跨国公司财务管理	/2015-2016-2	88.58	96.00
中国文化史	/2014-2015-1	88.55	96.00
新闻媒介与社会	/2014-2015-2	88.54	94.00
电力电子技术基础	/2014-2015-1	88.52	99.00
择业与就业	/2015-2016-1	88.51	95.00
工程实践与科技创新I	/2015-2016-2	88.50	92.00
无机合成	/2014-2015-2	88.50	92.00
日语口语（1）	/2014-2015-1	88.50	95.00
篆刻艺术	/2015-2016-1	88.50	100.00
社会精神医学	/2014-2015-1	88.49	96.50
中西乐理及其应用	/2015-2016-1	88.45	100.00
合同法	/2014-2015-2	88.45	95.00
中级宏观经济学	/2015-2016-1	88.44	97.00
《圣经》与西方文化	/2014-2015-1	88.43	100.00
人与环境	/2014-2015-2	88.41	97.00
生物技术概论	/2014-2015-1	88.40	97.00
药物合成反应	/2014-2015-1	88.40	99.00
素描（1）	/2014-2015-1	88.39	98.00
中外通俗歌曲鉴赏	/2014-2015-1	88.38	96.00
中华文选双语教程	/2015-2016-1	88.36	95.50
形势与政策	/2015-2016-2	88.35	99.00
基础日语(上)	/2014-2015-2	88.34	100.00
香港电影专题研究	/2014-2015-1	88.33	90.00
梵语（1）	/2014-2015-1	88.33	97.00
植物生物技术概论	/2014-2015-1	88.33	93.00
专题设计（1）	/2015-2016-1	88.32	91.00
C++程序设计与实践	/2014-2015-2	88.30	96.00
随机过程	/2014-2015-1	88.27	100.00
